date,state_held,state_signal,w_TECL,w_XLK,w_BIL,ret_gross,cost,ret_net,equity,drawdown,XLK_ret,TECL_ret,BIL_ret
2009-09-28,TECL,TECL,0.75,0.0,0.25,0.038975,0.0,0.038975,1.8673,0.0,0.016523,0.051895,0.000218
2009-09-29,TECL,TECL,0.75,0.0,0.25,-0.015857,0.0,-0.015857,1.8377,-0.0159,-0.005255,-0.021143,0.0
2009-09-30,TECL,TECL,0.75,0.0,0.25,0.0024,0.0,0.0024,1.8421,-0.0135,0.002887,0.0032,0.0
2009-10-01,TECL,TECL,0.75,0.0,0.25,-0.064269,0.0,-0.064269,1.7237,-0.0769,-0.029707,-0.085486,-0.000616
2009-10-02,TECL,TECL,0.75,0.0,0.25,-0.00484,0.0,-0.00484,1.7154,-0.0814,0.0,-0.006453,0.0
2009-10-05,TECL,TECL,0.75,0.0,0.25,0.019857,0.0,0.019857,1.7495,-0.0631,0.008396,0.02633,0.000437
2009-10-06,TECL,TECL,0.75,0.0,0.25,0.04517,0.0,0.04517,1.8285,-0.0208,0.018117,0.060373,-0.000437
2009-10-07,TECL,TECL,0.75,0.0,0.25,0.00398,0.0,0.00398,1.8358,-0.0169,-0.001931,0.005161,0.000437
2009-10-08,TECL,TECL,0.75,0.0,0.25,0.007593,0.0,0.007593,1.8497,-0.0094,0.006271,0.01027,-0.000437
2009-10-09,TECL,TECL,0.75,0.0,0.25,0.02507,0.0,0.02507,1.8961,0.0,0.006698,0.033355,0.000218
2009-10-12,TECL,TECL,0.75,0.0,0.25,0.011643,0.0,0.011643,1.9181,0.0,0.000486,0.015524,0.0
2009-10-13,TECL,TECL,0.75,0.0,0.25,0.000568,0.0,0.000568,1.9192,0.0,0.003793,0.000757,0.0
2009-10-14,TECL,TECL,0.75,0.0,0.25,0.032273,0.0,0.032273,1.9812,0.0,0.011845,0.043103,-0.000218
2009-10-15,TECL,TECL,0.75,0.0,0.25,-0.002827,0.0,-0.002827,1.9756,-0.0028,-0.001867,-0.00377,0.0
2009-10-16,TECL,TECL,0.75,0.0,0.25,-0.022267,0.0,-0.022267,1.9316,-0.025,-0.009378,-0.029836,0.000437
