kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max_v,v_xlk,v_tecl,use_credit,rsi_n,rsi_max,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,signal
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,,,1.0,1.0,0.30422236261337643,-0.4493036091814103,0.9391734476763173,0.6770975269209198,0.23094222839655476,-0.4587682020572069,0.6323192018387299,0.5033963281695731,0.28027956629819517,-0.45876820205720714,0.8054663788199968,0.6109393917044954,11.685139108798914,0.38368555284600075,0.2603483374802081,0.5921737163537661,0.14747794616602578,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,30.0,,0.8,1.0,0.19777944490798216,-0.41466004365825093,0.8074233634575997,0.47696769421793006,0.19307894738274256,-0.4399946981607066,0.6026924506165554,0.4388210771399366,0.19900296886003144,-0.43999469816070613,0.7163126075935183,0.4522849245500374,13.224157430445599,0.29878307817658595,0.2850033928975345,0.5776973535399231,0.1372992535625424,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,30.0,,0.85,1.0,0.2088015491576949,-0.42899140929708124,0.8109490228535237,0.48672664447948777,0.1976032068681841,-0.4499208893717579,0.6000517231351571,0.43919544865788557,0.20778930564391107,-0.4499208893717588,0.7171205264632787,0.46183520381561965,13.224157430445599,0.3162477568779506,0.2850033928975345,0.5776973535399231,0.1372992535625424,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.9,-0.1,10,30.0,,1.0,1.0,0.24057616334174114,-0.4702850226440929,0.8187956258926473,0.5115539550656855,0.20781868131655878,-0.47915556077385735,0.5930789579145959,0.4337186048324733,0.23203013825813823,-0.4791555607738577,0.7184344373564941,0.48424803394413113,13.224157430445599,0.36897550387975,0.2850033928975345,0.5776973535399231,0.1372992535625424,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,,,0.8,1.0,0.2463533955607673,-0.4035314125159203,0.91376563356208,0.6104937259402279,0.20222046648615266,-0.4382141942220178,0.6166870439258915,0.46146489354404446,0.23273281435801563,-0.4382141942220176,0.7852425295706349,0.5310937377808979,11.913141823116941,0.313702312832346,0.23885998642840986,0.6003166704365528,0.16082334313503732,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,,,0.85,1.0,0.26002688126346163,-0.4168477499915695,0.9166862079529708,0.6237934144270193,0.20689255002518947,-0.4470355654630763,0.614004373801281,0.4628100446792709,0.2431720231123886,-0.447035565463077,0.7857401786647782,0.5439657197308018,11.913141823116941,0.33178219729486014,0.23885998642840986,0.6003166704365528,0.16082334313503732,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,,,1.0,1.0,0.2997165551421248,-0.4554341334934011,0.9228100429741279,0.6580897941117263,0.21735900918693596,-0.48074121836041217,0.6068071066707487,0.45213308300929106,0.2722192922970428,-0.4807412183604123,0.7861041961210061,0.5662491209417364,11.913141823116941,0.3864386221097277,0.23885998642840986,0.6003166704365528,0.16082334313503732,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,30.0,,0.8,1.0,0.1931604750033069,-0.43250711456532676,0.7854979076669683,0.44660646842176177,0.18033996480800352,-0.4540142774373377,0.5710053034229172,0.39721210052230954,0.19131476426282834,-0.45401427743733846,0.691069991207086,0.4213849074145757,13.452160144763628,0.3016048138258873,0.26351504184573626,0.5858403076227098,0.15064465053155396,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,30.0,,0.85,1.0,0.20426907547749118,-0.44640151550359186,0.7906387290658178,0.45759046146394095,0.1847099032211872,-0.46385728987413033,0.5700278978490612,0.39820416161037164,0.20008510132055046,-0.46385728987413044,0.6935130135024775,0.431350559080023,13.452160144763628,0.319067508111412,0.26351504184573626,0.5858403076227098,0.15064465053155396,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,,10,30.0,,1.0,1.0,0.23629023978631203,-0.48643608265457894,0.8023548088424806,0.485758043475782,0.19449062616065893,-0.4928307343457471,0.567054118487292,0.3946398075575647,0.22427362885703017,-0.49283073434574765,0.6987497096226644,0.455072326515436,13.452160144763628,0.37183503129918044,0.26351504184573626,0.5858403076227098,0.15064465053155396,XLK
