signal_date,entry_date,exit_date,asset,weight,days,ret_gross,cost,ret_net,equity_in,equity_out,underlying_ret,max_adverse
2011-08-01,2011-08-02,2011-08-02,XLK,1.0,1,-0.02094,0.001,-0.02194,2.4475,2.3938,-0.02094,0.0
2011-08-02,2011-08-03,2011-10-20,BIL,1.0,56,-0.00022,0.001,-0.00122,2.3938,2.3909,-0.00022,-0.0004
2011-10-20,2011-10-21,2011-10-27,XLK,1.0,5,0.04681,0.001,0.04577,2.3909,2.5003,0.04681,-0.0158
2011-10-27,2011-10-28,2011-10-28,BIL,1.0,1,0.0,0.001,-0.001,2.5003,2.4978,0.0,0.0
2011-10-28,2011-10-31,2011-11-09,XLK,1.0,8,-0.03361,0.001,-0.03459,2.4978,2.4114,-0.03361,-0.0347
2011-11-09,2011-11-10,2011-11-16,BIL,1.0,5,0.00022,0.001,-0.00078,2.4114,2.4095,0.00022,-0.0002
2011-11-16,2011-11-17,2011-11-17,XLK,1.0,1,-0.01929,0.001,-0.02029,2.4095,2.3606,-0.01929,0.0
2011-11-17,2011-11-18,2011-11-22,BIL,1.0,3,-0.00022,0.001,-0.00122,2.3606,2.3577,-0.00022,-0.0002
2011-11-22,2011-11-23,2011-11-23,XLK,1.0,1,-0.02386,0.001,-0.02486,2.3577,2.2991,-0.02386,0.0
2011-11-23,2011-11-25,2011-11-25,BIL,1.0,1,0.0,0.001,-0.001,2.2991,2.2968,0.0,0.0
2011-11-25,2011-11-28,2011-11-28,XLK,1.0,1,0.0329,0.001,0.0319,2.2968,2.3701,0.0329,0.0
2011-11-28,2011-11-29,2011-12-08,BIL,1.0,8,-0.00022,0.001,-0.00122,2.3701,2.3672,-0.00022,-0.0002
2011-12-08,2011-12-09,2011-12-30,XLK,1.0,15,-0.00306,0.001,-0.00404,2.3672,2.3576,-0.00306,-0.0458
2011-12-30,2012-01-03,2012-02-09,TECL,0.75,27,0.32809,0.001,0.3268,2.3576,3.1281,0.45766,-0.0158
2012-02-09,2012-02-10,2012-03-09,XLK,1.0,20,0.03329,0.001,0.03225,3.1281,3.229,0.03329,-0.0197
2012-03-09,2012-03-12,2012-03-19,TECL,0.75,6,0.09018,0.001,0.0891,3.229,3.5167,0.12139,-0.0001
2012-03-19,2012-03-20,2012-04-04,XLK,1.0,12,0.0,0.001,-0.001,3.5167,3.5132,0.0,-0.0125
2012-04-04,2012-04-05,2012-05-10,TECL,0.75,25,-0.14447,0.001,-0.14532,3.5132,3.0026,-0.19132,-0.1508
2012-05-10,2012-05-11,2012-05-18,XLK,1.0,6,-0.04185,0.001,-0.04281,3.0026,2.8741,-0.04185,-0.0425
2012-05-18,2012-05-21,2012-08-02,BIL,1.0,52,-0.00022,0.001,-0.00122,2.8741,2.8706,-0.00022,-0.0004
2012-08-02,2012-08-03,2012-08-21,XLK,1.0,13,0.05557,0.001,0.05453,2.8706,3.0271,0.05557,-0.0065
2012-08-21,2012-08-22,2012-10-15,TECL,0.75,38,-0.0334,0.001,-0.03436,3.0271,2.9231,-0.04653,-0.1124
